Id,Label,Category,Frequency,Category_Description
epilepsy,Epilepsy,true_comorbidities,79,确证共病
comorbidity,Comorbidity,true_comorbidities,473,确证共病
headache_related_disability,Headache-Related Disability,social_impact,8,社会影响
cardiovascular,Cardiovascular,trigger_mechanisms,42,诱发机制
cost_illness,Cost Illness,social_impact,54,社会影响
quality_life,Quality Life,social_impact,645,社会影响
diet,Diet,interventions,59,干预措施
depression,Depression,true_comorbidities,145,确证共病
ketogenic_diet,Ketogenic Diet,interventions,16,干预措施
anxiety,Anxiety,true_comorbidities,115,确证共病
stroke,Stroke,true_comorbidities,109,确证共病
patent_foramen_ovale,Patent Foramen Ovale,true_comorbidities,20,确证共病
treatment_outcome,Treatment Outcome,interventions,621,干预措施
combined_modality_therapy,Combined Modality Therapy,interventions,40,干预措施
physical_therapy_modalities,Physical Therapy Modalities,interventions,30,干预措施
galcanezumab,Galcanezumab,interventions,38,干预措施
physiotherapy,Physiotherapy,interventions,11,干预措施
disability_evaluation,Disability Evaluation,social_impact,73,社会影响
menstrual_migraine,Menstrual Migraine,trigger_mechanisms,11,诱发机制
menstrual,Menstrual,trigger_mechanisms,3,诱发机制
hormone_replacement_therapy,Hormone Replacement Therapy,interventions,3,干预措施
menopause,Menopause,trigger_mechanisms,8,诱发机制
disease_management,Disease Management,interventions,18,干预措施
medication_overuse,Medication Overuse,interventions,18,干预措施
quality,Quality,social_impact,49,社会影响
acupuncture,Acupuncture,interventions,113,干预措施
exercise,Exercise,interventions,48,干预措施
mindfulness,Mindfulness,interventions,20,干预措施
stress,Stress,trigger_mechanisms,41,诱发机制
stigma,Stigma,social_impact,14,社会影响
social_stigma,Social Stigma,social_impact,18,社会影响
disability,Disability,social_impact,67,社会影响
therapy,Therapy,interventions,81,干预措施
migraine_treatment,Migraine Treatment,interventions,18,干预措施
restless_legs_syndrome,Restless Legs Syndrome,true_comorbidities,13,确证共病
circadian_rhythm,Circadian Rhythm,true_comorbidities,5,确证共病
insomnia,Insomnia,true_comorbidities,19,确证共病
pathophysiology,Pathophysiology,trigger_mechanisms,6,诱发机制
treatment,Treatment,interventions,52,干预措施
relaxation_therapy,Relaxation Therapy,interventions,9,干预措施
biofeedback,Biofeedback,interventions,28,干预措施
behavioral_treatment,Behavioral Treatment,interventions,4,干预措施
cognitive_behavioral_therapy,Cognitive Behavioral Therapy,interventions,24,干预措施
topiramate,Topiramate,interventions,30,干预措施
botulinum_toxins,Botulinum Toxins,interventions,105,干预措施
chronic_pain,Chronic Pain,true_comorbidities,30,确证共病
migraine_therapy,Migraine Therapy,interventions,323,干预措施
irritable_bowel,Irritable Bowel,true_comorbidities,15,确证共病
irritable_bowel_syndrome,Irritable Bowel Syndrome,true_comorbidities,10,确证共病
fibromyalgia,Fibromyalgia,true_comorbidities,26,确证共病
phytotherapy,Phytotherapy,interventions,13,干预措施
management,Management,interventions,7,干预措施
trigeminovascular,Trigeminovascular,trigger_mechanisms,7,诱发机制
psychiatric_comorbidity,Psychiatric Comorbidity,true_comorbidities,5,确证共病
relaxation,Relaxation,interventions,15,干预措施
comorbidities,Comorbidities,true_comorbidities,17,确证共病
light_sensitivity,Light Sensitivity,trigger_mechanisms,5,诱发机制
triptans,Triptans,interventions,34,干预措施
erenumab,Erenumab,interventions,38,干预措施
fremanezumab,Fremanezumab,interventions,27,干预措施
vasodilation,Vasodilation,trigger_mechanisms,4,诱发机制
hypertension,Hypertension,true_comorbidities,23,确证共病
neuromodulation,Neuromodulation,interventions,55,干预措施
remote_electrical_neuromodulat,Remote Electrical Neuromodulation,interventions,15,干预措施
anti_inflammatory_agents,Anti-Inflammatory Agents,trigger_mechanisms,72,诱发机制
hormonal,Hormonal,trigger_mechanisms,7,诱发机制
cortical_spreading_depression,Cortical Spreading Depression,trigger_mechanisms,21,诱发机制
vascular,Vascular,trigger_mechanisms,15,诱发机制
physical_therapy,Physical Therapy,interventions,13,干预措施
tension_type_therapy,Tension-Type Therapy,interventions,5,干预措施
stress_disorders,Stress Disorders,trigger_mechanisms,14,诱发机制
anxiety_disorders,Anxiety Disorders,true_comorbidities,15,确证共病
pain_management,Pain Management,interventions,96,干预措施
acupuncture_therapy,Acupuncture Therapy,interventions,97,干预措施
psychotherapy,Psychotherapy,interventions,8,干预措施
electric_stimulation_therapy,Electric Stimulation Therapy,interventions,40,干预措施
trigger_points,Trigger Points,trigger_mechanisms,8,诱发机制
drug_therapy,Drug Therapy,interventions,75,干预措施
cerebrovascular,Cerebrovascular,trigger_mechanisms,9,诱发机制
trigeminal,Trigeminal,trigger_mechanisms,19,诱发机制
monoclonal_antibodies,Monoclonal Antibodies,interventions,30,干预措施
post_traumatic_stress_disorder,Post-Traumatic Stress Disorder,trigger_mechanisms,3,诱发机制
ptsd,Ptsd,true_comorbidities,3,确证共病
interictal_burden,Interictal Burden,social_impact,6,社会影响
yoga,Yoga,interventions,11,干预措施
medication_overuse_headache,Medication Overuse Headache,interventions,27,干预措施
behavioral_therapy,Behavioral Therapy,interventions,6,干预措施
behavior_therapy,Behavior Therapy,interventions,20,干预措施
sleep_apnea,Sleep Apnea,true_comorbidities,10,确证共病
bipolar,Bipolar,true_comorbidities,10,确证共病
burden,Burden,social_impact,22,社会影响
absenteeism,Absenteeism,social_impact,13,社会影响
disability_adjusted_life_years,Disability-Adjusted Life Years,social_impact,3,社会影响
cost,Cost,social_impact,5,社会影响
parkinson,Parkinson,true_comorbidities,6,确证共病
sham_acupuncture,Sham Acupuncture,interventions,5,干预措施
sleep_quality,Sleep Quality,social_impact,18,社会影响
oxidative_stress,Oxidative Stress,trigger_mechanisms,17,诱发机制
inflammatory_bowel_diseases,Inflammatory Bowel Diseases,trigger_mechanisms,3,诱发机制
estrogen,Estrogen,trigger_mechanisms,10,诱发机制
estrogens,Estrogens,trigger_mechanisms,6,诱发机制
pharmacotherapy,Pharmacotherapy,interventions,4,干预措施
trigeminal_neuralgia,Trigeminal Neuralgia,trigger_mechanisms,5,诱发机制
manual_therapy,Manual Therapy,interventions,14,干预措施
alzheimer,Alzheimer,true_comorbidities,6,确证共病
psychological_treatment,Psychological Treatment,interventions,3,干预措施
acupuncture_points,Acupuncture Points,interventions,40,干预措施
acute_therapy,Acute Therapy,interventions,3,干预措施
posttraumatic_stress_disorder,Posttraumatic Stress Disorder,trigger_mechanisms,4,诱发机制
life_quality,Life Quality,social_impact,4,社会影响
