Id,Label,Category,Frequency
epilepsy,Epilepsy,true_comorbidities,79
comorbidity,Comorbidity,true_comorbidities,473
headache_related_disability,Headache-Related Disability,social_impact,8
cardiovascular,Cardiovascular,trigger_mechanisms,42
cost_illness,Cost Illness,social_impact,54
quality_life,Quality Life,social_impact,645
diet,Diet,interventions,59
depression,Depression,true_comorbidities,145
ketogenic_diet,Ketogenic Diet,interventions,16
anxiety,Anxiety,true_comorbidities,115
stroke,Stroke,true_comorbidities,109
patent_foramen_ovale,Patent Foramen Ovale,true_comorbidities,20
treatment_outcome,Treatment Outcome,interventions,621
combined_modality_therapy,Combined Modality Therapy,interventions,40
physical_therapy_modalities,Physical Therapy Modalities,interventions,30
galcanezumab,Galcanezumab,interventions,38
physiotherapy,Physiotherapy,interventions,11
disability_evaluation,Disability Evaluation,social_impact,73
menstrual_migraine,Menstrual Migraine,trigger_mechanisms,11
menstrual,Menstrual,trigger_mechanisms,3
hormone_replacement_therapy,Hormone Replacement Therapy,interventions,3
menopause,Menopause,trigger_mechanisms,8
disease_management,Disease Management,interventions,18
medication_overuse,Medication Overuse,interventions,18
quality,Quality,social_impact,49
acupuncture,Acupuncture,interventions,113
exercise,Exercise,interventions,48
mindfulness,Mindfulness,interventions,20
stress,Stress,trigger_mechanisms,41
stigma,Stigma,social_impact,14
social_stigma,Social Stigma,social_impact,18
disability,Disability,social_impact,67
therapy,Therapy,interventions,81
migraine_treatment,Migraine Treatment,interventions,18
restless_legs_syndrome,Restless Legs Syndrome,true_comorbidities,13
circadian_rhythm,Circadian Rhythm,true_comorbidities,5
insomnia,Insomnia,true_comorbidities,19
pathophysiology,Pathophysiology,trigger_mechanisms,6
treatment,Treatment,interventions,52
relaxation_therapy,Relaxation Therapy,interventions,9
biofeedback,Biofeedback,interventions,28
behavioral_treatment,Behavioral Treatment,interventions,4
cognitive_behavioral_therapy,Cognitive Behavioral Therapy,interventions,24
topiramate,Topiramate,interventions,30
botulinum_toxins,Botulinum Toxins,interventions,105
chronic_pain,Chronic Pain,true_comorbidities,30
migraine_therapy,Migraine Therapy,interventions,323
irritable_bowel,Irritable Bowel,true_comorbidities,15
irritable_bowel_syndrome,Irritable Bowel Syndrome,true_comorbidities,10
fibromyalgia,Fibromyalgia,true_comorbidities,26
phytotherapy,Phytotherapy,interventions,13
management,Management,interventions,7
trigeminovascular,Trigeminovascular,trigger_mechanisms,7
psychiatric_comorbidity,Psychiatric Comorbidity,true_comorbidities,5
relaxation,Relaxation,interventions,15
comorbidities,Comorbidities,true_comorbidities,17
light_sensitivity,Light Sensitivity,trigger_mechanisms,5
triptans,Triptans,interventions,34
erenumab,Erenumab,interventions,38
fremanezumab,Fremanezumab,interventions,27
vasodilation,Vasodilation,trigger_mechanisms,4
hypertension,Hypertension,true_comorbidities,23
neuromodulation,Neuromodulation,interventions,55
remote_electrical_neuromodulat,Remote Electrical Neuromodulation,interventions,15
anti_inflammatory_agents,Anti-Inflammatory Agents,trigger_mechanisms,72
hormonal,Hormonal,trigger_mechanisms,7
cortical_spreading_depression,Cortical Spreading Depression,trigger_mechanisms,21
vascular,Vascular,trigger_mechanisms,15
physical_therapy,Physical Therapy,interventions,13
tension_type_therapy,Tension-Type Therapy,interventions,5
