Source,Target,Weight,Type,Source_Label,Target_Label
anxiety,comorbidity,144,Undirected,Anxiety,Comorbidity
anxiety,depression,278,Undirected,Anxiety,Depression
anxiety,epilepsy,18,Undirected,Anxiety,Epilepsy
anxiety,quality_life,143,Undirected,Anxiety,Quality Life
comorbidity,depression,184,Undirected,Comorbidity,Depression
comorbidity,epilepsy,43,Undirected,Comorbidity,Epilepsy
comorbidity,quality_life,56,Undirected,Comorbidity,Quality Life
depression,epilepsy,23,Undirected,Depression,Epilepsy
depression,quality_life,165,Undirected,Depression,Quality Life
epilepsy,quality_life,17,Undirected,Epilepsy,Quality Life
cardiovascular,comorbidity,9,Undirected,Cardiovascular,Comorbidity
cardiovascular,disability,2,Undirected,Cardiovascular,Disability
cardiovascular,vascular,38,Undirected,Cardiovascular,Vascular
comorbidity,cost_illness,9,Undirected,Comorbidity,Cost Illness
comorbidity,disability,75,Undirected,Comorbidity,Disability
comorbidity,headache_related_disability,3,Undirected,Comorbidity,Headache-Related Disability
comorbidity,vascular,43,Undirected,Comorbidity,Vascular
cost_illness,disability,31,Undirected,Cost Illness,Disability
cost_illness,quality_life,42,Undirected,Cost Illness,Quality Life
cost_illness,vascular,2,Undirected,Cost Illness,Vascular
disability,headache_related_disability,6,Undirected,Disability,Headache-Related Disability
disability,quality_life,298,Undirected,Disability,Quality Life
disability,vascular,29,Undirected,Disability,Vascular
headache_related_disability,quality_life,2,Undirected,Headache-Related Disability,Quality Life
headache_related_disability,vascular,2,Undirected,Headache-Related Disability,Vascular
quality_life,vascular,34,Undirected,Quality Life,Vascular
calcitonin_gene_related,calcitonin_gene_related_peptid,98,Undirected,Calcitonin Gene-Related,Calcitonin Gene-Related Peptide
calcitonin_gene_related,cost_illness,4,Undirected,Calcitonin Gene-Related,Cost Illness
calcitonin_gene_related,disability,46,Undirected,Calcitonin Gene-Related,Disability
calcitonin_gene_related,erenumab,55,Undirected,Calcitonin Gene-Related,Erenumab
calcitonin_gene_related,fremanezumab,46,Undirected,Calcitonin Gene-Related,Fremanezumab
calcitonin_gene_related,galcanezumab,46,Undirected,Calcitonin Gene-Related,Galcanezumab
