Id,Label,Category,Frequency,Category_Description
depression,Depression,true_comorbidities,449,True Comorbidities
comorbidity,Comorbidity,true_comorbidities,473,True Comorbidities
epilepsy,Epilepsy,true_comorbidities,108,True Comorbidities
quality_life,Quality Life,social_impact,744,Social Impact
anxiety,Anxiety,true_comorbidities,349,True Comorbidities
vascular,Vascular,trigger_mechanisms,333,Trigger Mechanisms
disability,Disability,social_impact,551,Social Impact
cardiovascular,Cardiovascular,trigger_mechanisms,42,Trigger Mechanisms
headache_related_disability,Headache-Related Disability,social_impact,8,Social Impact
cost_illness,Cost Illness,social_impact,54,Social Impact
fremanezumab,Fremanezumab,interventions,76,Interventions
erenumab,Erenumab,interventions,93,Interventions
calcitonin_gene_related,Calcitonin Gene-Related,interventions,263,Interventions
lasmiditan,Lasmiditan,interventions,23,Interventions
calcitonin_gene_related_peptid,Calcitonin Gene-Related Peptide,interventions,130,Interventions
galcanezumab,Galcanezumab,interventions,79,Interventions
stress,Stress,trigger_mechanisms,200,Trigger Mechanisms
asthma,Asthma,true_comorbidities,35,True Comorbidities
relaxation,Relaxation,interventions,46,Interventions
neurogenic_inflammation,Neurogenic Inflammation,trigger_mechanisms,13,Trigger Mechanisms
parkinson,Parkinson,true_comorbidities,15,True Comorbidities
diet,Diet,interventions,88,Interventions
alzheimer,Alzheimer,true_comorbidities,16,True Comorbidities
ketogenic_diet,Ketogenic Diet,interventions,16,Interventions
cluster_headache,Cluster Headache,true_comorbidities,80,True Comorbidities
tension_type_headache,Tension Type Headache,true_comorbidities,18,True Comorbidities
pfo_closure,Pfo Closure,interventions,26,Interventions
patent_foramen_ovale,Patent Foramen Ovale,true_comorbidities,41,True Comorbidities
inflammatory,Inflammatory,trigger_mechanisms,150,Trigger Mechanisms
cortical_spreading_depression,Cortical Spreading Depression,trigger_mechanisms,35,Trigger Mechanisms
hypertension,Hypertension,true_comorbidities,108,True Comorbidities
stroke,Stroke,true_comorbidities,209,True Comorbidities
estrogen,Estrogen,trigger_mechanisms,31,Trigger Mechanisms
hormonal,Hormonal,trigger_mechanisms,46,Trigger Mechanisms
economic_burden,Economic Burden,social_impact,40,Social Impact
sleep_deprivation,Sleep Deprivation,trigger_mechanisms,7,Trigger Mechanisms
monthly_migraine_days,Monthly Migraine Days,social_impact,89,Social Impact
treatment_outcome,Treatment Outcome,interventions,621,Interventions
physical_therapy_modalities,Physical Therapy Modalities,interventions,30,Interventions
combined_modality_therapy,Combined Modality Therapy,interventions,40,Interventions
trigeminal,Trigeminal,trigger_mechanisms,117,Trigger Mechanisms
exercise,Exercise,interventions,92,Interventions
physical_therapy,Physical Therapy,interventions,30,Interventions
headache_days,Headache Days,social_impact,241,Social Impact
disability_evaluation,Disability Evaluation,social_impact,73,Social Impact
physiotherapy,Physiotherapy,interventions,11,Interventions
menstrual_migraine,Menstrual Migraine,trigger_mechanisms,11,Trigger Mechanisms
menopause,Menopause,trigger_mechanisms,17,Trigger Mechanisms
menstrual,Menstrual,trigger_mechanisms,39,Trigger Mechanisms
hormone_replacement_therapy,Hormone Replacement Therapy,interventions,3,Interventions
disease_management,Disease Management,interventions,18,Interventions
quality,Quality,social_impact,49,Social Impact
medication_overuse_headache,Medication Overuse Headache,true_comorbidities,61,True Comorbidities
medication_overuse,Medication Overuse,interventions,18,Interventions
acupuncture,Acupuncture,interventions,171,Interventions
mindfulness,Mindfulness,interventions,31,Interventions
insomnia,Insomnia,true_comorbidities,53,True Comorbidities
central_sensitization,Central Sensitization,trigger_mechanisms,35,Trigger Mechanisms
social_stigma,Social Stigma,social_impact,18,Social Impact
stigma,Stigma,social_impact,31,Social Impact
therapy,Therapy,interventions,81,Interventions
transcranial_magnetic,Transcranial Magnetic,interventions,79,Interventions
botulinum,Botulinum,interventions,114,Interventions
migraine_treatment,Migraine Treatment,interventions,18,Interventions
circadian_rhythm,Circadian Rhythm,true_comorbidities,9,True Comorbidities
restless_legs_syndrome,Restless Legs Syndrome,true_comorbidities,17,True Comorbidities
nerve_stimulation,Nerve Stimulation,interventions,90,Interventions
pathophysiology,Pathophysiology,trigger_mechanisms,6,Trigger Mechanisms
treatment,Treatment,interventions,52,Interventions
cognitive_behavioral_therapy,Cognitive Behavioral Therapy,interventions,31,Interventions
botulinum_toxins,Botulinum Toxins,interventions,105,Interventions
biofeedback,Biofeedback,interventions,40,Interventions
vagus_nerve_stimulation,Vagus Nerve Stimulation,interventions,44,Interventions
chronic_pain,Chronic Pain,true_comorbidities,66,True Comorbidities
topiramate,Topiramate,interventions,73,Interventions
behavioral_treatment,Behavioral Treatment,interventions,4,Interventions
relaxation_therapy,Relaxation Therapy,interventions,9,Interventions
migraine_therapy,Migraine Therapy,interventions,323,Interventions
irritable_bowel,Irritable Bowel,true_comorbidities,24,True Comorbidities
irritable_bowel_syndrome,Irritable Bowel Syndrome,true_comorbidities,10,True Comorbidities
fibromyalgia,Fibromyalgia,true_comorbidities,45,True Comorbidities
phytotherapy,Phytotherapy,interventions,13,Interventions
brainstem,Brainstem,trigger_mechanisms,21,Trigger Mechanisms
neuropathic_pain,Neuropathic Pain,true_comorbidities,10,True Comorbidities
management,Management,interventions,7,Interventions
calcitonin_gene_related_use,Calcitonin Gene-Related Use,interventions,13,Interventions
trigeminovascular,Trigeminovascular,trigger_mechanisms,34,Trigger Mechanisms
restless_legs,Restless Legs,true_comorbidities,17,True Comorbidities
tth,Tth,true_comorbidities,58,True Comorbidities
psychiatric_comorbidity,Psychiatric Comorbidity,true_comorbidities,5,True Comorbidities
vestibular_migraine,Vestibular Migraine,trigger_mechanisms,55,Trigger Mechanisms
vestibular,Vestibular,trigger_mechanisms,82,Trigger Mechanisms
comorbidities,Comorbidities,true_comorbidities,17,True Comorbidities
light_sensitivity,Light Sensitivity,trigger_mechanisms,5,Trigger Mechanisms
healthcare_cost,Healthcare Cost,social_impact,12,Social Impact
valproate,Valproate,interventions,23,Interventions
propranolol,Propranolol,interventions,40,Interventions
triptans,Triptans,interventions,133,Interventions
calcitonin_gene_related_peptid,Calcitonin Gene-Related Peptide Receptor Use,interventions,33,Interventions
moh,Moh,true_comorbidities,39,True Comorbidities
vasodilation,Vasodilation,trigger_mechanisms,7,Trigger Mechanisms
cgrp_receptor,Cgrp Receptor,interventions,46,Interventions
gepants,Gepants,interventions,38,Interventions
sleep_apnea,Sleep Apnea,true_comorbidities,16,True Comorbidities
tms,Tms,interventions,56,Interventions
occipital_nerve,Occipital Nerve,trigger_mechanisms,66,Trigger Mechanisms
neuromodulation,Neuromodulation,interventions,109,Interventions
remote_electrical_neuromodulat,Remote Electrical Neuromodulation,interventions,15,Interventions
cytokines,Cytokines,trigger_mechanisms,19,Trigger Mechanisms
anti_inflammatory_agents,Anti-Inflammatory Agents,trigger_mechanisms,72,Trigger Mechanisms
bipolar,Bipolar,true_comorbidities,25,True Comorbidities
rls,Rls,true_comorbidities,41,True Comorbidities
tension_type_therapy,Tension-Type Therapy,interventions,5,Interventions
anxiety_disorders,Anxiety Disorders,true_comorbidities,15,True Comorbidities
stress_disorders,Stress Disorders,trigger_mechanisms,14,Trigger Mechanisms
acupuncture_therapy,Acupuncture Therapy,interventions,97,Interventions
pain_management,Pain Management,interventions,96,Interventions
stress_management,Stress Management,trigger_mechanisms,6,Trigger Mechanisms
psychotherapy,Psychotherapy,interventions,8,Interventions
electric_stimulation_therapy,Electric Stimulation Therapy,interventions,40,Interventions
trigger_points,Trigger Points,trigger_mechanisms,8,Trigger Mechanisms
drug_therapy,Drug Therapy,interventions,75,Interventions
cerebrovascular,Cerebrovascular,trigger_mechanisms,9,Trigger Mechanisms
presenteeism,Presenteeism,social_impact,20,Social Impact
work_productivity,Work Productivity,social_impact,30,Social Impact
monoclonal_antibodies,Monoclonal Antibodies,interventions,103,Interventions
calcitonin_gene_related_peptid,Calcitonin Gene-Related Peptide Receptor,interventions,34,Interventions
ptsd,Ptsd,true_comorbidities,11,True Comorbidities
post_traumatic_stress_disorder,Post-Traumatic Stress Disorder,trigger_mechanisms,3,Trigger Mechanisms
occipital_nerve_stimulation,Occipital Nerve Stimulation,trigger_mechanisms,11,Trigger Mechanisms
absenteeism,Absenteeism,social_impact,23,Social Impact
interictal_burden,Interictal Burden,social_impact,6,Social Impact
vestibular_rehabilitation,Vestibular Rehabilitation,trigger_mechanisms,3,Trigger Mechanisms
emergency_department,Emergency Department,social_impact,88,Social Impact
yoga,Yoga,interventions,17,Interventions
behavior_therapy,Behavior Therapy,interventions,20,Interventions
behavioral_therapy,Behavioral Therapy,interventions,6,Interventions
daily_functioning,Daily Functioning,social_impact,8,Social Impact
cost,Cost,social_impact,5,Social Impact
disability_adjusted_life_years,Disability-Adjusted Life Years,social_impact,3,Social Impact
burden,Burden,social_impact,22,Social Impact
sham_acupuncture,Sham Acupuncture,interventions,5,Interventions
sleep_quality,Sleep Quality,social_impact,18,Social Impact
oxidative_stress,Oxidative Stress,trigger_mechanisms,17,Trigger Mechanisms
inflammatory_bowel_diseases,Inflammatory Bowel Diseases,trigger_mechanisms,3,Trigger Mechanisms
progesterone,Progesterone,trigger_mechanisms,3,Trigger Mechanisms
estrogens,Estrogens,trigger_mechanisms,6,Trigger Mechanisms
pharmacotherapy,Pharmacotherapy,interventions,4,Interventions
hospitalization,Hospitalization,social_impact,41,Social Impact
trigeminal_neuralgia,Trigeminal Neuralgia,trigger_mechanisms,5,Trigger Mechanisms
vestibular_diseases,Vestibular Diseases,trigger_mechanisms,9,Trigger Mechanisms
manual_therapy,Manual Therapy,interventions,14,Interventions
psychological_treatment,Psychological Treatment,interventions,3,Interventions
acupuncture_points,Acupuncture Points,interventions,40,Interventions
acute_therapy,Acute Therapy,interventions,3,Interventions
posttraumatic_stress_disorder,Posttraumatic Stress Disorder,trigger_mechanisms,4,Trigger Mechanisms
life_quality,Life Quality,social_impact,4,Social Impact
psychological_distress,Psychological Distress,trigger_mechanisms,4,Trigger Mechanisms
panic_disorder,Panic Disorder,true_comorbidities,6,True Comorbidities
microvascular_angina,Microvascular Angina,trigger_mechanisms,4,Trigger Mechanisms
dietary_approaches_stop_hypert,Dietary Approaches Stop Hypertension,true_comorbidities,5,True Comorbidities
ischemic_stroke,Ischemic Stroke,true_comorbidities,26,True Comorbidities
stroke_risk,Stroke Risk,true_comorbidities,17,True Comorbidities
self_management,Self-Management,interventions,11,Interventions
aerobic_exercise,Aerobic Exercise,interventions,8,Interventions
migraine_disability,Migraine Disability,social_impact,3,Social Impact
cerebrovascular_disease,Cerebrovascular Disease,trigger_mechanisms,8,Trigger Mechanisms
bipolar_disorder,Bipolar Disorder,true_comorbidities,11,True Comorbidities
allergic_rhinitis,Allergic Rhinitis,true_comorbidities,7,True Comorbidities
transcranial_magnetic_stimulat,Transcranial Magnetic Stimulation,interventions,67,Interventions
health_care_costs,Health Care Costs,social_impact,10,Social Impact
acute_treatment,Acute Treatment,interventions,19,Interventions
calcitonin_gene_related_peptid,Calcitonin Gene-Related Peptide Receptor Antagonists,interventions,53,Interventions
onabotulinumtoxina,Onabotulinumtoxina,interventions,40,Interventions
prophylactic_treatment,Prophylactic Treatment,interventions,20,Interventions
disease_burden,Disease Burden,social_impact,6,Social Impact
calcitonin_gene_related_peptid,Calcitonin Gene-Related Peptide Receptor Dosage,interventions,26,Interventions
intervention,Intervention,interventions,5,Interventions
parkinson_disease,Parkinson Disease,true_comorbidities,3,True Comorbidities
weather,Weather,trigger_mechanisms,12,Trigger Mechanisms
health_related_quality_life,Health-Related Quality Life,social_impact,21,Social Impact
thrombolytic_therapy,Thrombolytic Therapy,interventions,7,Interventions
cardiovascular_diseases,Cardiovascular Diseases,trigger_mechanisms,23,Trigger Mechanisms
treatment_patterns,Treatment Patterns,interventions,3,Interventions
central_nervous_sensitization,Central Nervous Sensitization,trigger_mechanisms,6,Trigger Mechanisms
preventive_treatment,Preventive Treatment,interventions,19,Interventions
stigmatization,Stigmatization,social_impact,3,Social Impact
duration_therapy,Duration Therapy,interventions,4,Interventions
dietary,Dietary,interventions,7,Interventions
anti_cgrp_monoclonal_antibodie,Anti-Cgrp Monoclonal Antibodies,interventions,5,Interventions
chronic_therapy,Chronic Therapy,interventions,7,Interventions
medication_overuse_headache,Medication-Overuse Headache,interventions,9,Interventions
internet_based_intervention,Internet-Based Intervention,interventions,3,Interventions
cost_benefit,Cost-Benefit,social_impact,14,Social Impact
treatment_response,Treatment Response,interventions,3,Interventions
menstrual_cycle,Menstrual Cycle,trigger_mechanisms,4,Trigger Mechanisms
medication,Medication,interventions,6,Interventions
cerebral_blood_flow,Cerebral Blood Flow,trigger_mechanisms,7,Trigger Mechanisms
inflammatory_bowel,Inflammatory Bowel,trigger_mechanisms,3,Trigger Mechanisms
neuroinflammation,Neuroinflammation,trigger_mechanisms,14,Trigger Mechanisms
self_medication,Self Medication,interventions,3,Interventions
electroacupuncture,Electroacupuncture,interventions,19,Interventions
costs,Costs,social_impact,5,Social Impact
amitriptyline,Amitriptyline,interventions,40,Interventions
quality_adjusted_life_years,Quality-Adjusted Life Years,social_impact,7,Social Impact
greater_occipital_nerve,Greater Occipital Nerve,trigger_mechanisms,10,Trigger Mechanisms
pulsed_radiofrequency_treatmen,Pulsed Radiofrequency Treatment,interventions,5,Interventions
progressive_muscle_relaxation,Progressive Muscle Relaxation,interventions,4,Interventions
exercise_therapy,Exercise Therapy,interventions,20,Interventions
desensitization,Desensitization,trigger_mechanisms,3,Trigger Mechanisms
supraorbital_nerve_stimulation,Supraorbital Nerve Stimulation,interventions,3,Interventions
cerebrovascular_disorders,Cerebrovascular Disorders,trigger_mechanisms,4,Trigger Mechanisms
greater_occipital_nerve_block,Greater Occipital Nerve Block,trigger_mechanisms,5,Trigger Mechanisms
triggers,Triggers,trigger_mechanisms,9,Trigger Mechanisms
dietary_supplements,Dietary Supplements,interventions,28,Interventions
mechanism,Mechanism,trigger_mechanisms,4,Trigger Mechanisms
trigger,Trigger,trigger_mechanisms,11,Trigger Mechanisms
botulinum_toxin,Botulinum Toxin,interventions,17,Interventions
treatment_failure,Treatment Failure,interventions,11,Interventions
diet_therapy,Diet Therapy,interventions,5,Interventions
calcitonin_gene_related_dosage,Calcitonin Gene-Related Dosage,interventions,4,Interventions
hormonal_contraception,Hormonal Contraception,trigger_mechanisms,3,Trigger Mechanisms
cryptogenic_stroke,Cryptogenic Stroke,true_comorbidities,3,True Comorbidities
estrogen_replacement,Estrogen Replacement,trigger_mechanisms,3,Trigger Mechanisms
premenopause,Premenopause,trigger_mechanisms,3,Trigger Mechanisms
cluster_therapy,Cluster Therapy,interventions,4,Interventions
hemorrhagic_stroke,Hemorrhagic Stroke,true_comorbidities,3,True Comorbidities
anti_inflammatory_dosage,Anti-Inflammatory Dosage,trigger_mechanisms,3,Trigger Mechanisms
menstrually_related_migraine,Menstrually Related Migraine,trigger_mechanisms,6,Trigger Mechanisms
botulinum_toxin_type,Botulinum Toxin Type,interventions,10,Interventions
combination_therapy,Combination Therapy,interventions,3,Interventions
onabotulinum_toxin,Onabotulinum Toxin,interventions,3,Interventions
cgrp_monoclonal_antibodies,Cgrp Monoclonal Antibodies,interventions,5,Interventions
trigeminal_autonomic_cephalalg,Trigeminal Autonomic Cephalalgias,trigger_mechanisms,4,Trigger Mechanisms
onabotulinumtoxin,Onabotulinumtoxin,interventions,5,Interventions
calcitonin_gene_related_inhibi,Calcitonin Gene-Related Inhibitors,interventions,28,Interventions
migraine_specific_quality_life,Migraine-Specific Quality Life Questionnaire,social_impact,3,Social Impact
preventive_migraine_treatment,Preventive Migraine Treatment,interventions,3,Interventions
preventive_therapy,Preventive Therapy,interventions,7,Interventions
light_therapy,Light Therapy,interventions,3,Interventions
cost_effectiveness,Cost-Effectiveness,social_impact,4,Social Impact
migraine_disability_assessment,Migraine Disability Assessment,social_impact,5,Social Impact
migraine_specific_quality_life,Migraine-Specific Quality Life,social_impact,6,Social Impact
migraine_without_therapy,Migraine Without Therapy,interventions,3,Interventions
vestibular_therapy,Vestibular Therapy,trigger_mechanisms,3,Trigger Mechanisms
global_burden_disease,Global Burden Disease,social_impact,3,Social Impact
headache_therapy,Headache Therapy,interventions,4,Interventions
interventional,Interventional,interventions,7,Interventions
drug_treatment,Drug Treatment,interventions,5,Interventions
elimination_diet,Elimination Diet,interventions,3,Interventions
cardiovascular_disease,Cardiovascular Disease,trigger_mechanisms,11,Trigger Mechanisms
vasoconstriction,Vasoconstriction,trigger_mechanisms,9,Trigger Mechanisms
cerebrovascular_circulation,Cerebrovascular Circulation,trigger_mechanisms,9,Trigger Mechanisms
barometric,Barometric,trigger_mechanisms,3,Trigger Mechanisms
cardiovascular_induced,Cardiovascular Induced,trigger_mechanisms,3,Trigger Mechanisms
vascular_dementia,Vascular Dementia,trigger_mechanisms,3,Trigger Mechanisms
vestibular_function_tests,Vestibular Function Tests,trigger_mechanisms,4,Trigger Mechanisms
trigger_factors,Trigger Factors,trigger_mechanisms,4,Trigger Mechanisms
stroke_young_adults,Stroke Young Adults,true_comorbidities,3,True Comorbidities
trigeminal_ganglion,Trigeminal Ganglion,trigger_mechanisms,5,Trigger Mechanisms
auricular_acupuncture,Auricular Acupuncture,interventions,4,Interventions
radiotherapy,Radiotherapy,interventions,12,Interventions
molecular_targeted_therapy,Molecular Targeted Therapy,interventions,23,Interventions
transcutaneous_auricular_vagus,Transcutaneous Auricular Vagus Nerve Stimulation,interventions,5,Interventions
medication_adherence,Medication Adherence,interventions,4,Interventions
cupping_therapy,Cupping Therapy,interventions,3,Interventions
neural_mechanism,Neural Mechanism,trigger_mechanisms,4,Trigger Mechanisms
transcutaneous_electric_nerve_,Transcutaneous Electric Nerve Stimulation,interventions,40,Interventions
acupuncture_analgesia,Acupuncture Analgesia,interventions,3,Interventions
external_trigeminal_nerve_stim,External Trigeminal Nerve Stimulation,trigger_mechanisms,6,Trigger Mechanisms
occipital_nerve_block,Occipital Nerve Block,trigger_mechanisms,4,Trigger Mechanisms
trigeminal_nerve,Trigeminal Nerve,trigger_mechanisms,15,Trigger Mechanisms
peripheral_nerve_stimulation,Peripheral Nerve Stimulation,interventions,3,Interventions
retreatment,Retreatment,interventions,5,Interventions
botulinum_neurotoxin,Botulinum Neurotoxin,interventions,3,Interventions
transcutaneous_electrical_nerv,Transcutaneous Electrical Nerve Stimulation,interventions,6,Interventions
withholding_treatment,Withholding Treatment,interventions,8,Interventions
magnetic_field_therapy,Magnetic Field Therapy,interventions,4,Interventions
cgrp_receptor_antagonists,Cgrp Receptor Antagonists,interventions,4,Interventions
time_to_treatment,Time-To-Treatment,interventions,5,Interventions
fluid_therapy,Fluid Therapy,interventions,6,Interventions
estrogen_replacement_therapy,Estrogen Replacement Therapy,trigger_mechanisms,3,Trigger Mechanisms
attack_treatment,Attack Treatment,interventions,3,Interventions
drug_costs,Drug Costs,social_impact,3,Social Impact
oxygen_inhalation_therapy,Oxygen Inhalation Therapy,interventions,4,Interventions
emergency_treatment,Emergency Treatment,interventions,4,Interventions
acupuncture_moxibustion,Acupuncture Moxibustion,interventions,7,Interventions
mediterranean_diet,Mediterranean Diet,interventions,4,Interventions
