Source,Target,Weight,Type
anxiety,comorbidity,144,Undirected
anxiety,depression,278,Undirected
anxiety,epilepsy,18,Undirected
anxiety,quality_life,143,Undirected
comorbidity,depression,184,Undirected
comorbidity,epilepsy,43,Undirected
comorbidity,quality_life,56,Undirected
depression,epilepsy,23,Undirected
depression,quality_life,165,Undirected
epilepsy,quality_life,17,Undirected
cardiovascular,comorbidity,9,Undirected
cardiovascular,disability,2,Undirected
cardiovascular,vascular,38,Undirected
comorbidity,cost_illness,9,Undirected
comorbidity,disability,75,Undirected
comorbidity,headache_related_disability,3,Undirected
comorbidity,vascular,43,Undirected
cost_illness,disability,31,Undirected
cost_illness,quality_life,42,Undirected
cost_illness,vascular,2,Undirected
disability,headache_related_disability,6,Undirected
disability,quality_life,298,Undirected
disability,vascular,29,Undirected
headache_related_disability,quality_life,2,Undirected
headache_related_disability,vascular,2,Undirected
quality_life,vascular,34,Undirected
calcitonin_gene_related,calcitonin_gene_related_peptid,98,Undirected
calcitonin_gene_related,cost_illness,4,Undirected
calcitonin_gene_related,disability,46,Undirected
calcitonin_gene_related,erenumab,55,Undirected
calcitonin_gene_related,fremanezumab,46,Undirected
calcitonin_gene_related,galcanezumab,46,Undirected
calcitonin_gene_related,lasmiditan,8,Undirected
calcitonin_gene_related,quality_life,72,Undirected
calcitonin_gene_related_peptid,disability,20,Undirected
calcitonin_gene_related_peptid,erenumab,33,Undirected
calcitonin_gene_related_peptid,fremanezumab,33,Undirected
calcitonin_gene_related_peptid,galcanezumab,38,Undirected
calcitonin_gene_related_peptid,quality_life,33,Undirected
cost_illness,galcanezumab,3,Undirected
cost_illness,lasmiditan,2,Undirected
disability,erenumab,31,Undirected
disability,fremanezumab,18,Undirected
disability,galcanezumab,27,Undirected
disability,lasmiditan,6,Undirected
erenumab,fremanezumab,43,Undirected
erenumab,galcanezumab,45,Undirected
erenumab,lasmiditan,2,Undirected
erenumab,quality_life,45,Undirected
fremanezumab,galcanezumab,41,Undirected
fremanezumab,lasmiditan,2,Undirected
fremanezumab,quality_life,31,Undirected
galcanezumab,lasmiditan,2,Undirected
galcanezumab,quality_life,43,Undirected
lasmiditan,quality_life,3,Undirected
anxiety,stress,69,Undirected
comorbidity,stress,56,Undirected
depression,stress,79,Undirected
anxiety,asthma,11,Undirected
asthma,comorbidity,18,Undirected
neurogenic_inflammation,quality_life,3,Undirected
quality_life,relaxation,18,Undirected
alzheimer,depression,3,Undirected
alzheimer,diet,2,Undirected
alzheimer,epilepsy,6,Undirected
alzheimer,parkinson,5,Undirected
alzheimer,quality_life,3,Undirected
depression,diet,9,Undirected
depression,parkinson,5,Undirected
diet,epilepsy,4,Undirected
diet,ketogenic_diet,16,Undirected
diet,parkinson,2,Undirected
diet,quality_life,17,Undirected
epilepsy,ketogenic_diet,2,Undirected
epilepsy,parkinson,6,Undirected
ketogenic_diet,quality_life,3,Undirected
parkinson,quality_life,4,Undirected
anxiety,cluster_headache,4,Undirected
anxiety,tension_type_headache,5,Undirected
cluster_headache,comorbidity,13,Undirected
cluster_headache,depression,8,Undirected
cluster_headache,tension_type_headache,3,Undirected
comorbidity,tension_type_headache,5,Undirected
depression,tension_type_headache,5,Undirected
calcitonin_gene_related,comorbidity,9,Undirected
calcitonin_gene_related,cortical_spreading_depression,5,Undirected
calcitonin_gene_related,depression,16,Undirected
calcitonin_gene_related,estrogen,2,Undirected
calcitonin_gene_related,hormonal,3,Undirected
calcitonin_gene_related,hypertension,5,Undirected
calcitonin_gene_related,inflammatory,29,Undirected
calcitonin_gene_related,stroke,3,Undirected
comorbidity,cortical_spreading_depression,5,Undirected
comorbidity,estrogen,3,Undirected
comorbidity,hormonal,9,Undirected
comorbidity,hypertension,29,Undirected
comorbidity,inflammatory,26,Undirected
comorbidity,patent_foramen_ovale,4,Undirected
comorbidity,stroke,31,Undirected
cortical_spreading_depression,depression,24,Undirected
cortical_spreading_depression,hypertension,2,Undirected
cortical_spreading_depression,inflammatory,7,Undirected
cortical_spreading_depression,patent_foramen_ovale,3,Undirected
cortical_spreading_depression,stroke,9,Undirected
depression,estrogen,5,Undirected
depression,hormonal,11,Undirected
depression,hypertension,24,Undirected
depression,inflammatory,29,Undirected
depression,patent_foramen_ovale,3,Undirected
depression,stroke,23,Undirected
estrogen,hormonal,18,Undirected
estrogen,hypertension,4,Undirected
estrogen,inflammatory,3,Undirected
estrogen,patent_foramen_ovale,3,Undirected
estrogen,stroke,11,Undirected
hormonal,hypertension,3,Undirected
hormonal,inflammatory,6,Undirected
hormonal,stroke,11,Undirected
hypertension,inflammatory,9,Undirected
hypertension,patent_foramen_ovale,4,Undirected
hypertension,pfo_closure,2,Undirected
hypertension,stroke,33,Undirected
inflammatory,patent_foramen_ovale,2,Undirected
inflammatory,stroke,8,Undirected
patent_foramen_ovale,pfo_closure,23,Undirected
patent_foramen_ovale,stroke,23,Undirected
pfo_closure,stroke,11,Undirected
comorbidity,economic_burden,2,Undirected
comorbidity,fremanezumab,4,Undirected
comorbidity,treatment_outcome,23,Undirected
depression,fremanezumab,7,Undirected
depression,monthly_migraine_days,6,Undirected
depression,treatment_outcome,51,Undirected
fremanezumab,monthly_migraine_days,16,Undirected
fremanezumab,treatment_outcome,29,Undirected
monthly_migraine_days,treatment_outcome,47,Undirected
quality_life,stress,60,Undirected
combined_modality_therapy,comorbidity,3,Undirected
combined_modality_therapy,disability,10,Undirected
combined_modality_therapy,exercise,5,Undirected
combined_modality_therapy,physical_therapy,2,Undirected
combined_modality_therapy,physical_therapy_modalities,4,Undirected
combined_modality_therapy,trigeminal,4,Undirected
comorbidity,exercise,8,Undirected
comorbidity,physical_therapy_modalities,2,Undirected
comorbidity,trigeminal,14,Undirected
disability,exercise,32,Undirected
disability,physical_therapy,10,Undirected
disability,physical_therapy_modalities,9,Undirected
disability,trigeminal,11,Undirected
exercise,physical_therapy,18,Undirected
exercise,physical_therapy_modalities,12,Undirected
physical_therapy,physical_therapy_modalities,12,Undirected
physical_therapy,trigeminal,3,Undirected
physical_therapy_modalities,trigeminal,2,Undirected
calcitonin_gene_related,headache_days,30,Undirected
calcitonin_gene_related,treatment_outcome,68,Undirected
galcanezumab,headache_days,30,Undirected
galcanezumab,treatment_outcome,35,Undirected
headache_days,quality_life,117,Undirected
headache_days,treatment_outcome,105,Undirected
quality_life,treatment_outcome,185,Undirected
disability,disability_evaluation,66,Undirected
disability,physiotherapy,6,Undirected
disability_evaluation,physiotherapy,2,Undirected
disability_evaluation,quality_life,37,Undirected
physiotherapy,quality_life,5,Undirected
disability,hormonal,5,Undirected
disability,menstrual,10,Undirected
disability,menstrual_migraine,4,Undirected
disability,stroke,8,Undirected
hormonal,hormone_replacement_therapy,2,Undirected
hormonal,menopause,7,Undirected
hormonal,menstrual,12,Undirected
hormonal,menstrual_migraine,3,Undirected
hormonal,quality_life,11,Undirected
hormone_replacement_therapy,menopause,2,Undirected
hormone_replacement_therapy,menstrual,2,Undirected
hormone_replacement_therapy,stroke,2,Undirected
menopause,menstrual,3,Undirected
menopause,quality_life,3,Undirected
menopause,stroke,5,Undirected
menstrual,menstrual_migraine,11,Undirected
menstrual,quality_life,8,Undirected
menstrual,stroke,3,Undirected
menstrual_migraine,quality_life,6,Undirected
quality_life,stroke,11,Undirected
anxiety,disability,107,Undirected
anxiety,medication_overuse,3,Undirected
anxiety,medication_overuse_headache,11,Undirected
anxiety,quality,20,Undirected
depression,disability,130,Undirected
depression,disease_management,2,Undirected
depression,medication_overuse,3,Undirected
depression,medication_overuse_headache,14,Undirected
depression,quality,19,Undirected
disability,disease_management,4,Undirected
disability,medication_overuse,9,Undirected
disability,medication_overuse_headache,20,Undirected
disability,quality,28,Undirected
disease_management,quality,2,Undirected
disease_management,quality_life,5,Undirected
medication_overuse,medication_overuse_headache,6,Undirected
medication_overuse,quality,4,Undirected
medication_overuse,quality_life,10,Undirected
medication_overuse_headache,quality,3,Undirected
medication_overuse_headache,quality_life,26,Undirected
quality,quality_life,42,Undirected
inflammatory,quality_life,26,Undirected
acupuncture,exercise,7,Undirected
acupuncture,physical_therapy,5,Undirected
acupuncture,quality_life,28,Undirected
exercise,quality_life,30,Undirected
physical_therapy,quality_life,12,Undirected
anxiety,insomnia,20,Undirected
anxiety,mindfulness,10,Undirected
comorbidity,insomnia,25,Undirected
comorbidity,mindfulness,3,Undirected
depression,insomnia,24,Undirected
depression,mindfulness,12,Undirected
central_sensitization,comorbidity,16,Undirected
central_sensitization,stress,4,Undirected
cost_illness,social_stigma,4,Undirected
cost_illness,stigma,6,Undirected
disability,social_stigma,8,Undirected
disability,stigma,15,Undirected
quality_life,social_stigma,7,Undirected
quality_life,stigma,16,Undirected
social_stigma,stigma,16,Undirected
botulinum,calcitonin_gene_related,20,Undirected
botulinum,comorbidity,2,Undirected
botulinum,depression,7,Undirected
botulinum,therapy,11,Undirected
botulinum,transcranial_magnetic,3,Undirected
calcitonin_gene_related,therapy,18,Undirected
calcitonin_gene_related,transcranial_magnetic,6,Undirected
comorbidity,therapy,8,Undirected
comorbidity,transcranial_magnetic,3,Undirected
depression,therapy,13,Undirected
depression,transcranial_magnetic,11,Undirected
diet,disability,20,Undirected
diet,inflammatory,8,Undirected
diet,migraine_treatment,3,Undirected
diet,monthly_migraine_days,2,Undirected
disability,inflammatory,15,Undirected
disability,migraine_treatment,3,Undirected
disability,monthly_migraine_days,21,Undirected
inflammatory,migraine_treatment,2,Undirected
inflammatory,monthly_migraine_days,2,Undirected
migraine_treatment,quality_life,4,Undirected
monthly_migraine_days,quality_life,38,Undirected
estrogen,menopause,7,Undirected
estrogen,quality_life,5,Undirected
estrogen,vascular,8,Undirected
hormonal,vascular,9,Undirected
menopause,vascular,3,Undirected
stroke,vascular,92,Undirected
circadian_rhythm,comorbidity,4,Undirected
circadian_rhythm,insomnia,5,Undirected
comorbidity,restless_legs_syndrome,14,Undirected
insomnia,restless_legs_syndrome,3,Undirected
comorbidity,diet,5,Undirected
epilepsy,nerve_stimulation,8,Undirected
comorbidity,treatment,5,Undirected
behavioral_treatment,biofeedback,3,Undirected
behavioral_treatment,relaxation,3,Undirected
behavioral_treatment,relaxation_therapy,2,Undirected
biofeedback,botulinum,2,Undirected
biofeedback,chronic_pain,2,Undirected
biofeedback,cognitive_behavioral_therapy,10,Undirected
biofeedback,nerve_stimulation,2,Undirected
biofeedback,quality_life,12,Undirected
biofeedback,relaxation,17,Undirected
biofeedback,relaxation_therapy,8,Undirected
biofeedback,topiramate,3,Undirected
biofeedback,treatment_outcome,6,Undirected
botulinum,botulinum_toxins,85,Undirected
botulinum,chronic_pain,4,Undirected
botulinum,cognitive_behavioral_therapy,3,Undirected
botulinum,nerve_stimulation,4,Undirected
botulinum,quality_life,51,Undirected
botulinum,relaxation,2,Undirected
botulinum,topiramate,14,Undirected
botulinum,treatment_outcome,51,Undirected
botulinum_toxins,chronic_pain,3,Undirected
botulinum_toxins,cognitive_behavioral_therapy,2,Undirected
botulinum_toxins,nerve_stimulation,2,Undirected
botulinum_toxins,quality_life,50,Undirected
botulinum_toxins,topiramate,9,Undirected
botulinum_toxins,treatment_outcome,52,Undirected
chronic_pain,nerve_stimulation,2,Undirected
chronic_pain,quality_life,22,Undirected
chronic_pain,relaxation,5,Undirected
chronic_pain,topiramate,2,Undirected
chronic_pain,treatment_outcome,12,Undirected
chronic_pain,vagus_nerve_stimulation,2,Undirected
cognitive_behavioral_therapy,nerve_stimulation,2,Undirected
cognitive_behavioral_therapy,quality_life,10,Undirected
cognitive_behavioral_therapy,relaxation,9,Undirected
cognitive_behavioral_therapy,relaxation_therapy,6,Undirected
cognitive_behavioral_therapy,topiramate,3,Undirected
