Id,Label,Category,Frequency
depression,Depression,true_comorbidities,449
comorbidity,Comorbidity,true_comorbidities,473
epilepsy,Epilepsy,true_comorbidities,108
quality_life,Quality Life,social_impact,744
anxiety,Anxiety,true_comorbidities,349
vascular,Vascular,trigger_mechanisms,333
disability,Disability,social_impact,551
cardiovascular,Cardiovascular,trigger_mechanisms,42
headache_related_disability,Headache-Related Disability,social_impact,8
cost_illness,Cost Illness,social_impact,54
fremanezumab,Fremanezumab,interventions,76
erenumab,Erenumab,interventions,93
calcitonin_gene_related,Calcitonin Gene-Related,interventions,263
lasmiditan,Lasmiditan,interventions,23
calcitonin_gene_related_peptid,Calcitonin Gene-Related Peptide,interventions,130
galcanezumab,Galcanezumab,interventions,79
stress,Stress,trigger_mechanisms,200
asthma,Asthma,true_comorbidities,35
relaxation,Relaxation,interventions,46
neurogenic_inflammation,Neurogenic Inflammation,trigger_mechanisms,13
parkinson,Parkinson,true_comorbidities,15
diet,Diet,interventions,88
alzheimer,Alzheimer,true_comorbidities,16
ketogenic_diet,Ketogenic Diet,interventions,16
cluster_headache,Cluster Headache,true_comorbidities,80
tension_type_headache,Tension Type Headache,true_comorbidities,18
pfo_closure,Pfo Closure,interventions,26
patent_foramen_ovale,Patent Foramen Ovale,true_comorbidities,41
inflammatory,Inflammatory,trigger_mechanisms,150
cortical_spreading_depression,Cortical Spreading Depression,trigger_mechanisms,35
hypertension,Hypertension,true_comorbidities,108
stroke,Stroke,true_comorbidities,209
estrogen,Estrogen,trigger_mechanisms,31
hormonal,Hormonal,trigger_mechanisms,46
economic_burden,Economic Burden,social_impact,40
sleep_deprivation,Sleep Deprivation,trigger_mechanisms,7
monthly_migraine_days,Monthly Migraine Days,social_impact,89
treatment_outcome,Treatment Outcome,interventions,621
physical_therapy_modalities,Physical Therapy Modalities,interventions,30
combined_modality_therapy,Combined Modality Therapy,interventions,40
trigeminal,Trigeminal,trigger_mechanisms,117
exercise,Exercise,interventions,92
physical_therapy,Physical Therapy,interventions,30
headache_days,Headache Days,social_impact,241
disability_evaluation,Disability Evaluation,social_impact,73
physiotherapy,Physiotherapy,interventions,11
menstrual_migraine,Menstrual Migraine,trigger_mechanisms,11
menopause,Menopause,trigger_mechanisms,17
menstrual,Menstrual,trigger_mechanisms,39
hormone_replacement_therapy,Hormone Replacement Therapy,interventions,3
disease_management,Disease Management,interventions,18
quality,Quality,social_impact,49
medication_overuse_headache,Medication Overuse Headache,true_comorbidities,61
medication_overuse,Medication Overuse,interventions,18
acupuncture,Acupuncture,interventions,171
mindfulness,Mindfulness,interventions,31
insomnia,Insomnia,true_comorbidities,53
central_sensitization,Central Sensitization,trigger_mechanisms,35
social_stigma,Social Stigma,social_impact,18
stigma,Stigma,social_impact,31
therapy,Therapy,interventions,81
transcranial_magnetic,Transcranial Magnetic,interventions,79
botulinum,Botulinum,interventions,114
migraine_treatment,Migraine Treatment,interventions,18
circadian_rhythm,Circadian Rhythm,true_comorbidities,9
restless_legs_syndrome,Restless Legs Syndrome,true_comorbidities,17
nerve_stimulation,Nerve Stimulation,interventions,90
pathophysiology,Pathophysiology,trigger_mechanisms,6
treatment,Treatment,interventions,52
cognitive_behavioral_therapy,Cognitive Behavioral Therapy,interventions,31
botulinum_toxins,Botulinum Toxins,interventions,105
biofeedback,Biofeedback,interventions,40
vagus_nerve_stimulation,Vagus Nerve Stimulation,interventions,44
chronic_pain,Chronic Pain,true_comorbidities,66
topiramate,Topiramate,interventions,73
behavioral_treatment,Behavioral Treatment,interventions,4
relaxation_therapy,Relaxation Therapy,interventions,9
migraine_therapy,Migraine Therapy,interventions,323
irritable_bowel,Irritable Bowel,true_comorbidities,24
irritable_bowel_syndrome,Irritable Bowel Syndrome,true_comorbidities,10
fibromyalgia,Fibromyalgia,true_comorbidities,45
phytotherapy,Phytotherapy,interventions,13
brainstem,Brainstem,trigger_mechanisms,21
neuropathic_pain,Neuropathic Pain,true_comorbidities,10
management,Management,interventions,7
calcitonin_gene_related_use,Calcitonin Gene-Related Use,interventions,13
trigeminovascular,Trigeminovascular,trigger_mechanisms,34
restless_legs,Restless Legs,true_comorbidities,17
tth,Tth,true_comorbidities,58
psychiatric_comorbidity,Psychiatric Comorbidity,true_comorbidities,5
vestibular_migraine,Vestibular Migraine,trigger_mechanisms,55
vestibular,Vestibular,trigger_mechanisms,82
comorbidities,Comorbidities,true_comorbidities,17
light_sensitivity,Light Sensitivity,trigger_mechanisms,5
healthcare_cost,Healthcare Cost,social_impact,12
